text,class
i just want to end it all,suicide
i feel hopeless and worthless,suicide
nobody cares about me anymore,suicide
i can't take this pain anymore,suicide
i've been thinking about harming myself,suicide
life is not worth living,suicide
i wish i was never born,suicide
everything hurts and i see no way out,suicide
i'm planning to end my life soon,suicide
i can't bear this suffering any longer,suicide
i just got promoted at work,non-suicide
i'm excited about the new project,non-suicide
the weather is beautiful today,non-suicide
i love spending time with my family,non-suicide
i just finished reading an amazing book,non-suicide
i'm looking forward to my vacation,non-suicide
the concert was fantastic,non-suicide
i'm proud of my accomplishments,non-suicide
i made a new friend today,non-suicide
life is full of possibilities,non-suicide
just finished a great workout,non-suicide
the movie was entertaining,non-suicide
i got a good score on my exam,non-suicide
my garden is blooming beautifully,non-suicide
i'm grateful for the support of my friends,non-suicide
the coffee shop has the best espresso,non-suicide
i'm starting a new hobby,non-suicide
the sunset was breathtaking,non-suicide
my team won the game,non-suicide
i'm feeling energized and motivated,non-suicide
the food was delicious,non-suicide
i'm learning new skills,non-suicide
my dog is the best companion,non-suicide
the collaboration went smoothly,non-suicide
i'm excited about the future,non-suicide
it was a productive day,non-suicide
the music festival was incredible,non-suicide
i got the job i wanted,non-suicide
my plants are thriving,non-suicide
i'm in a good place mentally,non-suicide
the workshop was informative,non-suicide
i'm building a new project,non-suicide
my art is improving,non-suicide
the hike was refreshing,non-suicide
i'm grateful for this opportunity,non-suicide
